path,rows,columns,description,classification
green-fleet-optimizer-with-optimization\green-fleet-optimizer\analysis\05_feature_importance.csv,34,feature:str; gain_importance:float64,Gain-based feature importances from the existing trained fuel model (XGBoost). Reference only.,reference
green-fleet-optimizer-with-optimization\green-fleet-optimizer\analysis\06_shap_importance.csv,34,feature:str; mean_abs_shap:float64,Mean |SHAP| feature importances from the existing trained fuel model. Reference only.,reference
green-fleet-optimizer-with-optimization\green-fleet-optimizer\data\drive-download-20260916T171405Z-1-001\fig1_ghg_cii_by_fuel.csv,48,Block:int64; Row_Index:int64; GHG_HFO:float64; GHG_MDO:float64; GHG_Biodiesel:float64; GHG_Coal-Methanol:float64; GHG_NG-Methanol:float64; GHG_E-Methanol:float64; GHG_Bio-Methanol:float64; GHG_Conv-LNG:float64; GHG_E-LNG:float64; GHG_Bio-LNG:float64; GHG_Conv-LH2:float64; GHG_E-LH2:float64; GHG_Bio-LH2:float64; GHG_Conv-LNH3:float64; GHG_E-LNH3:float64; CII_HFO:float64; CII_MDO:float64; CII_Biodiesel:float64; CII_Coal-Methanol:float64; CII_NG-Methanol:float64; CII_E-Methanol:float64; CII_Bio-Methanol:float64; CII_Conv-LNG:float64; CII_E-LNG:float64; CII_Bio-LNG:float64; CII_Conv-LH2:float64; CII_E-LH2:float64; CII_Bio-LH2:float64; CII_Conv-LNH3:float64; CII_E-LNH3:float64,"Reference chart export: GHG intensity and CII values per alternative marine fuel (HFO, MDO, methanol/LNG/H2/NH3 variants) across 48 index rows/blocks. Real literature/report reference data, not vessel-specific.",ghg
green-fleet-optimizer-with-optimization\green-fleet-optimizer\data\drive-download-20260916T171405Z-1-001\fig1_scenario_comparison.csv,10,Scenario:str; Metric_Block:str; HFO:float64; MDO:float64; Biodiesel:float64; Coal-Methanol:float64; NG-Methanol:float64; E-Methanol:float64; Bio-Methanol:float64; Conv-LNG:float64; E-LNG:float64; Bio-LNG:float64; Conv-LH2:float64; E-LH2:float64; Bio-LH2:float64; Conv-LNH3:float64; E-LNH3:float64,Reference chart export: GHG-like and CII-like metric values per fuel under 'Current' vs '2050-FuelEU' policy scenarios. Real reference data.,ghg
green-fleet-optimizer-with-optimization\green-fleet-optimizer\data\drive-download-20260916T171405Z-1-001\fig2_country_renewable_capacity.csv,35,Country:str; Installed_Renewable_Power_Capacity:int64,"Reference chart export: installed renewable power capacity (MW) by country. Real reference data, used for future shore-power/GHG-scope context, not vessel/route specific.",reference
green-fleet-optimizer-with-optimization\green-fleet-optimizer\data\drive-download-20260916T171405Z-1-001\fig2_port_coordinates.csv,13,Port:str; Latitude:float64; Longitude:float64,"Real named-port coordinates (lat/lon) for 13 East-Asian ports (Yokohama, Nagoya, Busan, etc.) originally used to plot a route/map figure. Genuine coordinate data.",port
green-fleet-optimizer-with-optimization\green-fleet-optimizer\data\drive-download-20260916T171405Z-1-001\fig2_regional_power_mix.csv,4,Area:str; Renewable_power_GW:float64; Non_renewable_power_GW:float64; Total_GW:int64; Renewable_Share:str,"Reference chart export: renewable vs non-renewable power mix (GW) by world region. Real reference data, not vessel/route specific.",reference
green-fleet-optimizer-with-optimization\green-fleet-optimizer\data\drive-download-20260916T171405Z-1-001\fig3_fuel_perspectives_by_power_source.csv,208,Metric:str; Fuel:str; Power_Source:str; Value:float64,"Reference chart export: lifecycle metric values (climate change impact per tonne-nm, etc.) per fuel and per shipboard power source (hybrid/wind/PV). Real reference data.",ghg
green-fleet-optimizer-with-optimization\green-fleet-optimizer\data\drive-download-20260916T171405Z-1-001\fig4_national_decarbonisation_scenarios.csv,810,Country:str; Year:int64; Scenario:str; CO2eq_million_tonnes:float64,"Reference chart export: national CO2eq decarbonisation scenario projections by country/year/scenario. Real reference data, aggregate/national level.",ghg
green-fleet-optimizer-with-optimization\green-fleet-optimizer\data\drive-download-20260916T171405Z-1-001\fig5_ghg_pathway_scenarios.csv,729,Panel:str; Panel_Description:str; Year:int64; Fuel:str; kgCO2eq_per_MJ:float64,"Reference chart export: kgCO2eq/MJ pathway values per fuel/year under different regulatory panels (EU blending, IMO, etc). Real reference data.",ghg
green-fleet-optimizer-with-optimization\green-fleet-optimizer\data\drive-download-20260916T171405Z-1-001\fig5_lifecycle_cost_vs_hfo.csv,28,Panel:str; Fuel:str; Relative_Cost_vs_HFO:float64,"Reference chart export: relative lifecycle fuel cost vs HFO=1.0 baseline, per fuel type and panel. Real reference cost data (relative, not absolute $/tonne).",cost
green-fleet-optimizer-with-optimization\green-fleet-optimizer\data\drive-download-20260916T171405Z-1-001\fig7_containership_sales_cgt.csv,11,Year:int64; Actual_Sales_CGT:int64; Estimated_Sales_CGT:int64,"Reference chart export: actual vs estimated global containership sales in compensated gross tonnage (CGT) by year. Real reference data, market-level not fleet-specific.",reference
green-fleet-optimizer-with-optimization\green-fleet-optimizer\data\drive-download-20260916T171405Z-1-001\fig7_containership_sales_numships.csv,10,Year:int64; Actual_Sales_NumShips:int64; Estimated_Sales_NumShips:int64,"Reference chart export: actual vs estimated global containership sales in number of ships by year. Real reference data, market-level.",reference
green-fleet-optimizer-with-optimization\green-fleet-optimizer\data\drive-download-20260916T171405Z-1-001\fig9_fuel_probability_distributions.csv,1405,Sample_ID:int64; GWP_tCO2::MDO:float64; GWP_tCO2::Coal-MeOH:float64; GWP_tCO2::NG-MeOH:float64; GWP_tCO2::e-MeOH:float64; GWP_tCO2::bio-MeOH:float64; GWP_tCO2::Conv-LNG:float64; GWP_tCO2::e-LNG:float64; GWP_tCO2::bio-LNG:float64; GWP_tCO2::Conv-LH2:float64; GWP_tCO2::e-LH2:float64; GWP_tCO2::bio-LH2:float64; GWP_tCO2::Conv-LNH3:float64; GWP_tCO2::e-LNH3:float64; GWP_tCO2::HFO:float64; GWP_tCO2::Biodiesel:float64; CarbonIntensity_gCO2_per_TEUnm::MDO:float64; CarbonIntensity_gCO2_per_TEUnm::Coal-MeOH:float64; CarbonIntensity_gCO2_per_TEUnm::NG-MeOH:float64; CarbonIntensity_gCO2_per_TEUnm::e-MeOH:float64; CarbonIntensity_gCO2_per_TEUnm::bio-MeOH:float64; CarbonIntensity_gCO2_per_TEUnm::Conv-LNG:float64; CarbonIntensity_gCO2_per_TEUnm::e-LNG:float64; CarbonIntensity_gCO2_per_TEUnm::bio-LNG:float64; CarbonIntensity_gCO2_per_TEUnm::Conv-LH2:float64; CarbonIntensity_gCO2_per_TEUnm::e-LH2:float64; CarbonIntensity_gCO2_per_TEUnm::bio-LH2:float64; CarbonIntensity_gCO2_per_TEUnm::Conv-LNH3:float64; CarbonIntensity_gCO2_per_TEUnm::e-LNH3:float64; CarbonIntensity_gCO2_per_TEUnm::HFO:float64; CarbonIntensity_gCO2_per_TEUnm::Biodiesel:float64; EnergyConsumption_MJ::MDO:float64; EnergyConsumption_MJ::Coal-MeOH:float64; EnergyConsumption_MJ::NG-MeOH:float64; EnergyConsumption_MJ::e-MeOH:float64; EnergyConsumption_MJ::bio-MeOH:float64; EnergyConsumption_MJ::Conv-LNG:float64; EnergyConsumption_MJ::e-LNG:float64; EnergyConsumption_MJ::bio-LNG:float64; EnergyConsumption_MJ::Conv-LH2:float64; EnergyConsumption_MJ::e-LH2:float64; EnergyConsumption_MJ::bio-LH2:float64; EnergyConsumption_MJ::Conv-LNH3:float64; EnergyConsumption_MJ::e-LNH3:float64; EnergyConsumption_MJ::HFO:float64; EnergyConsumption_MJ::Biodiesel:float64; ProfitabilityIndex_USD_per_TEU::MDO:float64; ProfitabilityIndex_USD_per_TEU::Coal-MeOH:float64; ProfitabilityIndex_USD_per_TEU::NG-MeOH:float64; ProfitabilityIndex_USD_per_TEU::e-MeOH:float64; ProfitabilityIndex_USD_per_TEU::bio-MeOH:float64; ProfitabilityIndex_USD_per_TEU::Conv-LNG:float64; ProfitabilityIndex_USD_per_TEU::e-LNG:float64; ProfitabilityIndex_USD_per_TEU::bio-LNG:float64; ProfitabilityIndex_USD_per_TEU::Conv-LH2:float64; ProfitabilityIndex_USD_per_TEU::e-LH2:float64; ProfitabilityIndex_USD_per_TEU::bio-LH2:float64; ProfitabilityIndex_USD_per_TEU::Conv-LNH3:float64; ProfitabilityIndex_USD_per_TEU::e-LNH3:float64; ProfitabilityIndex_USD_per_TEU::HFO:float64; ProfitabilityIndex_USD_per_TEU::Biodiesel:float64,"Monte-Carlo-style probability distribution samples (1405 draws) of GWP, carbon intensity, energy consumption and profitability index per fuel type. Real distributional reference data (from literature/sensitivity study), not tied to specific vessels/voyages.",ghg
green-fleet-optimizer-with-optimization\green-fleet-optimizer\data\drive-download-20260916T171405Z-1-001\fleet_combined.csv,2781,Dataset:str; Year:int64; Item:str; Category:str; Value:float64,"AGGREGATE fleet stock statistics ('Coastal Fleet by Type', etc.) by Year/Item(DWT count etc.)/Category(vessel type). These are FLEET-LEVEL AGGREGATES, NOT individual vessel records - do not treat rows as vessels.",fleet
green-fleet-optimizer-with-optimization\green-fleet-optimizer\data\drive-download-20260916T171405Z-1-001\india_cargo_traffic_monthly.csv,567,Report_Type:str; Year:int64; Month:str; Month_Num:int64; Port_or_State:str; Cargo_Type:str; current_month_prev_year:float64; current_month_curr_year:float64; current_month_pct_share:float64; current_month_pct_change_yoy:float64; fytd_prev_year:float64; fytd_curr_year:float64; fytd_pct_share:float64; fytd_pct_change_yoy:float64,"Real Indian major-port cargo traffic time series (monthly), coastal vs overseas, with prior-year comparisons. Aggregate cargo demand data by port/month.",cargo
green-fleet-optimizer-with-optimization\green-fleet-optimizer\data\drive-download-20260916T171405Z-1-001\india_port_traffic_combined.csv,586,Port:str; Year:str; Overseas Unloaded:float64; Overseas Loaded:float64; Overseas Total:float64; Coastal Unloaded:float64; Coastal Loaded:float64; Coastal Total:float64; Total Unloaded:float64; Total Loaded:float64; Total Traffic:int64,"Real Indian port-level annual cargo traffic (overseas/coastal, loaded/unloaded) 1950-present. Aggregate cargo demand data by port/year.",cargo
green-fleet-optimizer-with-optimization\green-fleet-optimizer\data\drive-download-20260916T171405Z-1-001\ship_performance.csv,2736,Date:str; Ship_Type:str; Route_Type:str; Engine_Type:str; Maintenance_Status:str; Speed_Over_Ground_knots:float64; Engine_Power_kW:float64; Distance_Traveled_nm:float64; Draft_meters:float64; Weather_Condition:str; Cargo_Weight_tons:float64; Operational_Cost_USD:float64; Revenue_per_Voyage_USD:float64; Turnaround_Time_hours:float64; Efficiency_nm_per_kWh:float64; Seasonal_Impact_Score:float64; Weekly_Voyage_Count:int64; Average_Load_Percentage:float64,"Per-record ship performance/operations data: Ship_Type, Route_Type, Engine_Type, speed, engine power, distance travelled, draft, cargo weight, operational cost, revenue, turnaround time, load percentage. No vessel ID/name column, so individual rows CANNOT be confirmed as distinct named vessels; conservatively treated as vessel-type-level real observations (fleet-segment granularity, not confirmed individual-vessel granularity).",fleet
green-fleet-optimizer-with-optimization\green-fleet-optimizer\data\drive-download-20260916T171405Z-1-001\world_ports_master.csv,2065,portid:str; portname:str; country:str; ISO3:str; continent:str; fullname:str; lat:float64; lon:float64; vessel_count_total:int64; vessel_count_container:int64; vessel_count_dry_bulk:int64; vessel_count_general_cargo:int64; vessel_count_RoRo:int64; vessel_count_tanker:int64; industry_top1:str; industry_top2:str; industry_top3:str; share_country_maritime_import:float64; share_country_maritime_export:float64; LOCODE:str; pageid:str; countrynoaccents:str,"Real global port master list with lat/lon, vessel-call counts by type, and dominant trade industries per port. Richest real port coordinate/traffic-profile source.",port
