column,role,reason,feature_group
Weather_DiffuseRadiation,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_DirectNormalIrradiance,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_DirectRadiation,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_OceanCurrentDirection,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_OceanCurrentVelocity,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_Precipitation,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_RelativeHumidity2M,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_ShortwaveRadiation,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_SunshineDuration,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_SurfacePressure,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_SwellWaveDirection,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_SwellWaveHeight,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_SwellWavePeakPeriod,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_SwellWavePeriod,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_Temperature2M,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_WaveDirection,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_WaveHeight,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_WavePeriod,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_WeatherCode,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_WindDirection10M,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_WindGusts10M,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_WindSpeed10M,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_WindWaveDirection,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_WindWaveHeight,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_WindWavePeakPeriod,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Weather_WindWavePeriod,KEEP,Externally forecastable environmental condition (wind/wave/swell/current/atmospheric). Physically plausible driver of resistance and hence fuel via the wind/wave/current -> resistance -> power -> fuel chain described in the blueprint; available ahead of a voyage from a weather/ocean forecast.,A: core operating/route (weather)
Consumer_Boiler1_FuelType_DM,SUPERSEDED (engineered),Raw one-hot flag; used as the source for the engineered Boiler_FuelType_RM380 feature rather than being fed to the model directly (avoids a redundant near-duplicate DM/RM380 pair).,
Consumer_Boiler1_FuelType_RM 380,SUPERSEDED (engineered),Raw one-hot flag; source for engineered Boiler_FuelType_RM380 (see above).,
Consumer_GeneratorEngine1_FuelType_DM,SUPERSEDED (engineered),Raw per-engine one-hot flag; rolled up into GenEngine_DM_Count / GenEngine_RM380_Count across the 5 generator engines instead of 15 separate collinear binary columns.,
Consumer_GeneratorEngine1_FuelType_RM 180,SUPERSEDED (engineered),"Raw per-engine one-hot flag (RM180 use is rare, ~1% of rows); rolled up into the engineered fuel-type counts rather than used directly.",
Consumer_GeneratorEngine1_FuelType_RM 380,SUPERSEDED (engineered),Raw per-engine one-hot flag; rolled up into GenEngine_RM380_Count.,
Consumer_GeneratorEngine2_FuelType_DM,SUPERSEDED (engineered),Raw per-engine one-hot flag; rolled up into GenEngine_DM_Count / GenEngine_RM380_Count across the 5 generator engines instead of 15 separate collinear binary columns.,
Consumer_GeneratorEngine2_FuelType_RM 180,SUPERSEDED (engineered),"Raw per-engine one-hot flag (RM180 use is rare, ~1% of rows); rolled up into the engineered fuel-type counts rather than used directly.",
Consumer_GeneratorEngine2_FuelType_RM 380,SUPERSEDED (engineered),Raw per-engine one-hot flag; rolled up into GenEngine_RM380_Count.,
Consumer_GeneratorEngine3_FuelType_DM,SUPERSEDED (engineered),Raw per-engine one-hot flag; rolled up into GenEngine_DM_Count / GenEngine_RM380_Count across the 5 generator engines instead of 15 separate collinear binary columns.,
Consumer_GeneratorEngine3_FuelType_RM 180,SUPERSEDED (engineered),"Raw per-engine one-hot flag (RM180 use is rare, ~1% of rows); rolled up into the engineered fuel-type counts rather than used directly.",
Consumer_GeneratorEngine3_FuelType_RM 380,SUPERSEDED (engineered),Raw per-engine one-hot flag; rolled up into GenEngine_RM380_Count.,
Consumer_GeneratorEngine4_FuelType_DM,SUPERSEDED (engineered),Raw per-engine one-hot flag; rolled up into GenEngine_DM_Count / GenEngine_RM380_Count across the 5 generator engines instead of 15 separate collinear binary columns.,
Consumer_GeneratorEngine4_FuelType_RM 180,SUPERSEDED (engineered),"Raw per-engine one-hot flag (RM180 use is rare, ~1% of rows); rolled up into the engineered fuel-type counts rather than used directly.",
Consumer_GeneratorEngine4_FuelType_RM 380,SUPERSEDED (engineered),Raw per-engine one-hot flag; rolled up into GenEngine_RM380_Count.,
Consumer_GeneratorEngine5_FuelType_DM,SUPERSEDED (engineered),Raw per-engine one-hot flag; rolled up into GenEngine_DM_Count / GenEngine_RM380_Count across the 5 generator engines instead of 15 separate collinear binary columns.,
Consumer_GeneratorEngine5_FuelType_RM 180,SUPERSEDED (engineered),"Raw per-engine one-hot flag (RM180 use is rare, ~1% of rows); rolled up into the engineered fuel-type counts rather than used directly.",
Consumer_GeneratorEngine5_FuelType_RM 380,SUPERSEDED (engineered),Raw per-engine one-hot flag; rolled up into GenEngine_RM380_Count.,
Boiler_FuelType_RM380,KEEP (engineered),Binary flag built from Consumer_Boiler1_FuelType_RM 380 (boilers always agree); replaces the 2 redundant raw boiler flags with a single non-collinear feature.,C: fuel type
GenEngine_RM380_Count,KEEP (engineered),"Count (0-5) of generator engines currently burning RM380, built from the 15 raw one-hot flags. Captures partial fuel-switching events (engines do not always switch simultaneously) without 15 collinear binary columns.",C: fuel type
GenEngine_DM_Count,KEEP (engineered),Count (0-5) of generator engines currently burning DM (marine diesel oil).,C: fuel type
